,Rank,Name,2020 Population,2019 Population,Change
468,469,Voronezh,1067719,1062031,0.54%
469,470,Managua,1063698,1055472,0.78%
470,471,Pizhou,1063231,1010736,5.19%
471,472,Cartagena,1062622,1054694,0.75%
472,473,Yueqing,1060702,1021693,3.82%
473,474,Shimkent,1057936,1020604,3.66%
474,475,Tasikmalaya,1056485,999508,5.70%
475,476,Abomey Calavi,1056440,991000,6.60%
476,477,Changwon,1055974,1057734,-0.17%
477,478,Chihuahua,1054766,1033378,2.07%
478,479,Saharanpur,1054102,1012993,4.06%
479,480,Jalandhar,1053670,1033756,1.93%
480,481,Panjin,1053125,1030951,2.15%
481,482,Nnewi,1050860,989343,6.22%
482,483,Oslo,1041377,1026758,1.42%
483,484,Luohe,1039941,982185,5.88%
484,485,Diyarbakir,1039492,1018977,2.01%
485,486,Bishkek,1038429,1017166,2.09%
486,487,Jingzhou Hubei,1038296,1022741,1.52%
487,488,Wenling,1037164,1004015,3.30%
488,489,San Jose,1036242,1030796,0.26%
489,490,Fuyang,1036162,1006913,2.90%
490,491,Solapur,1031037,1021948,0.89%
491,492,Shangrao,1028518,1001805,2.67%
492,493,Kermanshah,1025740,1004561,2.11%
493,494,Toulouse,1024166,1010593,1.34%
494,495,Johor Bahru,1023900,1003485,2.03%
495,496,Zhaoqing,1023777,996546,2.73%
496,497,Teresina,1021229,1011029,1.01%
497,498,Siliguri,1020303,983606,3.73%
498,499,Ma Anshan,1019389,986525,3.33%
499,500,Austin,1018842,983366,1.77%
500,501,Mersin,1016019,997131,1.89%
501,502,Bien Hoa,1013064,980581,3.31%
502,503,Bujumbura,1012996,954424,6.14%
503,504,Kirkuk,1012614,996040,1.66%
504,505,Samarinda,1010413,979359,3.17%
505,506,Rotterdam,1010026,1008667,0.13%
506,507,Yueyang,1009534,999033,1.05%
507,508,Aracaju,1009380,991254,1.83%
508,509,Odesa,1009289,1010293,-0.10%
509,510,Volgograd,1004688,1009238,-0.45%
510,511,Marrakech,1002709,988968,1.39%
511,512,Tampico,1001278,986228,1.53%
512,513,Bazhong,991820,924575,7.27%
513,514,Fuzhou Jiangxi,989880,950130,4.18%
514,515,Hargeysa,988716,945908,4.53%
515,516,Huzhou,988351,960993,2.85%
516,517,Leshan,986923,951055,3.77%
517,518,Denpasar,986853,965359,2.23%
518,519,Dezhou,986192,952704,3.52%
519,520,San Miguel De Tucuman,985656,971050,1.50%
520,521,Saltillo,983784,966802,1.76%
521,522,Valparaiso,983751,975179,0.88%
522,524,Aden,980455,950374,3.17%
523,523,Padang,980455,964358,1.67%
524,525,Cebu City,980070,967436,1.31%
525,526,Acapulco De Juarez,979381,966958,1.28%
526,527,Kayseri,973506,960262,1.38%
527,528,Bobo Dioulasso,972124,924370,5.17%
528,529,Xiongan,969535,892142,8.67%
529,530,Bordeaux,968993,957383,1.21%
530,531,Xuchang,968135,934073,3.65%
531,532,Songkhla,966597,953612,1.36%
532,533,Asmara,962985,928758,3.69%
533,534,Nonthaburi,962694,949762,1.36%
534,535,Chenzhou,959881,914372,4.98%
535,536,Warangal,959658,936510,2.47%
536,537,Dnipro,957345,963113,-0.60%
537,538,Krasnodar,957214,938135,2.03%
538,539,Khulna,953745,962845,-0.95%
539,540,Ilorin,949866,928632,2.29%
540,541,Jixi Heilongjiang,949646,936975,1.35%
541,542,Morelia,948793,936074,1.36%
542,543,Sekondi Takoradi,945519,900040,5.05%
543,544,Seongnam,943768,945746,-0.21%
544,545,Qujing,942342,907828,3.80%
545,546,Nice,942208,941800,0.04%
546,547,Changshu,938683,894600,4.93%
547,548,Ikorodu,937615,887220,5.68%
548,549,Xintai,936382,905520,3.41%
549,550,Jacksonville,934439,907529,1.46%
550,551,Fort Worth,933881,893997,2.18%
551,552,Cucuta,933380,923047,1.12%
552,553,Blantyre Limbe,932263,904758,3.04%
553,554,Jerusalem,931756,919407,1.34%
554,555,Pingxiang Jiangxi,928895,904694,2.68%
555,556,Southampton,927916,919843,0.88%
556,557,Mudanjiang,925522,910032,1.70%
557,558,Agadir,923552,905649,1.98%
558,559,Arequipa,922999,911311,1.28%
559,560,Nyala,922532,878037,5.07%
560,561,Hamah,921502,906705,1.63%
561,562,Tshikapa,919192,869060,5.77%
562,563,Dehradun,918946,894925,2.68%
563,564,Veracruz,918529,907066,1.26%
564,565,Yichun Jiangxi,918051,859349,6.83%
565,566,Ciudad Guayana,917700,900874,1.87%
566,567,Zamboanga City,917477,905281,1.35%
567,568,Dushanbe,915712,893826,2.45%
568,569,Pathum Thani,913741,901466,1.36%
569,570,Jiujiang,913212,889447,2.67%
570,571,Ulsan,910330,910162,0.02%
571,572,Laiwu,907839,880451,3.11%
572,573,Rajshahi,907732,893214,1.63%
573,574,San Francisco,906419,888653,0.99%
574,575,Donetsk,905530,911981,-0.71%
575,576,Charlotte,904675,873363,1.76%
576,577,San Pedro Sula,902751,876445,3.00%
577,578,Bengbu,901773,889163,1.42%
578,579,Liverpool,901708,897218,0.50%
579,580,Columbus,900274,880182,1.13%
580,581,Oran,899182,889644,1.07%
581,582,Reynosa,899084,880902,2.06%
582,583,Villahermosa,898461,883336,1.71%
583,584,West Rand,897609,886343,1.27%
584,585,Campo Grande,896864,886361,1.18%
585,586,Jos,895288,875746,2.23%
586,587,Bergamo,892089,883295,1.00%
587,588,Zhucheng,891494,855579,4.20%
588,589,Guigang,891173,864577,3.08%
589,590,Guiping,891158,843956,5.59%
590,591,Yangjiang,890013,867562,2.59%
591,592,Bangui,889231,869599,2.26%
592,593,Malang,886620,878589,0.91%
593,594,Londrina,885516,871682,1.59%
594,595,La Plata,884054,873918,1.16%
595,596,Misratah,881319,841267,4.76%
596,597,Antipolo,881018,859070,2.55%
597,598,Concepcion,880722,869186,1.33%
598,599,Chengde,880494,839566,4.87%
599,600,Dandong,877258,865354,1.38%
600,601,Najaf,873744,846750,3.19%
601,602,Owerri,872604,838554,4.06%
